date,channel,campaign,spend,impressions,clicks,conversions,revenue
2025-01-18,Facebook,FB_Retargeting,95.15,8009,187,6,592.49
2025-01-18,Google,Google_Search_Brand,95.36,9124,300,13,1689.85
2025-01-18,Google,Google_Display,123.22,6855,194,8,1022.33
2025-01-18,Instagram,IG_Story_Promo,63.7,8164,92,2,188.49
2025-01-18,Email,Email_Newsletter,39.36,19679,146,2,148.65
2025-01-18,Email,Email_Abandoned_Cart,37.33,18663,166,3,282.26
2025-01-19,Instagram,IG_Story_Promo,80.05,8470,165,3,321.19
2025-01-19,Email,Email_Abandoned_Cart,34.61,17305,113,1,65.16
2025-01-19,Email,Email_Newsletter,23.08,11538,112,1,73.15
2025-01-19,Google,Google_Display,132.46,9386,298,10,1148.83
2025-01-19,Google,Google_Search_Brand,178.32,13926,401,14,1504.99
2025-01-19,Facebook,FB_Retargeting,118.55,10960,187,4,322.33
2025-01-19,Facebook,FB_NewYear_Sale,89.28,8746,180,6,576.84
2025-01-20,Facebook,FB_NewYear_Sale,169.05,19369,357,20,1979.17
2025-01-20,Facebook,FB_Retargeting,127.89,11986,200,8,653.08
2025-01-20,Google,Google_Search_Brand,187.73,16444,350,18,1951.76
2025-01-20,Google,Google_Display,176.7,15166,386,25,2940.39
2025-01-20,Instagram,IG_Story_Promo,90.31,9511,182,5,405.38
2025-01-20,Email,Email_Newsletter,54.75,27373,268,6,410.24
2025-01-20,Email,Email_Abandoned_Cart,49.61,24805,177,5,449.49
2025-01-21,Email,Email_Abandoned_Cart,55.39,27694,230,6,596.76
2025-01-21,Instagram,IG_Story_Promo,78.37,8558,128,4,365.94
2025-01-21,Google,Google_Display,174.14,15891,530,35,4100.74
2025-01-21,Email,Email_Newsletter,65.23,32615,178,4,298.09
2025-01-21,Facebook,FB_Retargeting,242.37,28754,559,28,2511.57
2025-01-21,Facebook,FB_NewYear_Sale,80.94,9935,174,9,1042.27
2025-01-21,Google,Google_Search_Brand,244.78,20140,516,26,2674.96
2025-01-22,Email,Email_Abandoned_Cart,33.72,16862,114,2,166.5
2025-01-22,Instagram,IG_Story_Promo,110.02,11321,176,7,568.39
2025-01-22,Google,Google_Display,166.76,9391,309,23,2307.27
2025-01-22,Email,Email_Newsletter,40.22,20112,132,3,231.05
2025-01-22,Facebook,FB_Retargeting,166.89,19081,340,14,1622.19
2025-01-22,Facebook,FB_NewYear_Sale,108.04,12851,212,9,777.85
2025-01-22,Google,Google_Search_Brand,201.94,15202,528,28,2965.6
2025-01-23,Email,Email_Newsletter,50.87,25432,241,5,459.05
2025-01-23,Facebook,FB_NewYear_Sale,151.44,17573,348,17,1395.24
2025-01-23,Facebook,FB_Retargeting,124.19,15046,374,17,1910.71
2025-01-23,Google,Google_Search_Brand,184.62,15337,463,33,3756.24
2025-01-23,Google,Google_Display,101.13,7906,268,20,2572.02
2025-01-23,Instagram,IG_Story_Promo,84.06,12938,223,10,772.49
2025-01-23,Email,Email_Abandoned_Cart,48.44,24221,124,2,185.17
2025-01-24,Email,Email_Newsletter,55.29,27646,286,6,434.81
2025-01-24,Email,Email_Abandoned_Cart,52.47,26236,167,5,475.35
2025-01-24,Instagram,IG_Story_Promo,63.39,9666,173,7,639.37
2025-01-24,Google,Google_Search_Brand,180.66,15235,510,31,3464.01
2025-01-24,Google,Google_Display,240.35,13931,409,21,2679.46
2025-01-24,Facebook,FB_Retargeting,191.04,19580,367,18,1656.99
2025-01-24,Facebook,FB_NewYear_Sale,142.82,15137,359,17,1915.29
2025-01-25,Facebook,FB_NewYear_Sale,87.02,9288,215,5,569.29
2025-01-25,Facebook,FB_Retargeting,99.33,8877,146,3,326.67
2025-01-25,Google,Google_Search_Brand,112.59,7144,211,8,893.67
2025-01-25,Google,Google_Display,118.33,10332,347,13,1378.44
2025-01-25,Instagram,IG_Story_Promo,52.57,6699,130,2,186.9
2025-01-25,Email,Email_Newsletter,52.12,26060,196,4,330.42
2025-01-25,Email,Email_Abandoned_Cart,35.9,17952,186,3,198.3
2025-01-26,Email,Email_Newsletter,35.51,17756,114,1,67.06
2025-01-26,Instagram,IG_Story_Promo,81.52,11038,148,3,264.27
2025-01-26,Google,Google_Display,170.64,10390,208,7,741.49
2025-01-26,Email,Email_Abandoned_Cart,16.12,8060,64,1,85.29
2025-01-26,Facebook,FB_Retargeting,133.25,13592,219,7,794.89
2025-01-26,Facebook,FB_NewYear_Sale,144.52,14904,333,11,1287.25
2025-01-26,Google,Google_Search_Brand,141.56,9610,249,7,723.86
2025-01-27,Email,Email_Newsletter,65.58,32791,167,6,587.07
2025-01-27,Instagram,IG_Story_Promo,93.52,10274,149,6,525.78
2025-01-27,Google,Google_Display,185.91,18062,489,32,2964.11
2025-01-27,Email,Email_Abandoned_Cart,30.73,15364,92,3,229.05
2025-01-27,Facebook,FB_Retargeting,149.03,17866,446,22,2283.94
2025-01-27,Facebook,FB_NewYear_Sale,155.79,19347,418,18,2131.97
2025-01-27,Google,Google_Search_Brand,163.53,15519,484,27,3399.9
2025-01-28,Facebook,FB_NewYear_Sale,178.07,21961,378,16,1710.01
2025-01-28,Facebook,FB_Retargeting,188.15,23288,373,20,1742.84
2025-01-28,Google,Google_Search_Brand,151.11,13997,330,23,2857.24
2025-01-28,Google,Google_Display,228.52,13731,356,24,2356.78
2025-01-28,Instagram,IG_Story_Promo,111.86,18483,200,6,426.37
2025-01-28,Email,Email_Newsletter,46.9,23452,161,4,382.83
2025-01-28,Email,Email_Abandoned_Cart,44.77,22386,139,4,282.89
2025-01-29,Email,Email_Newsletter,51.96,25979,183,6,559.14
2025-01-29,Email,Email_Abandoned_Cart,40.22,20108,89,2,192.0
2025-01-29,Instagram,IG_Story_Promo,65.8,6620,101,3,242.68
2025-01-29,Google,Google_Display,212.31,14090,336,18,2221.15
2025-01-29,Google,Google_Search_Brand,196.13,11431,365,22,1999.77
2025-01-29,Facebook,FB_Retargeting,156.33,14141,231,13,1293.46
2025-01-29,Facebook,FB_NewYear_Sale,181.47,17288,330,16,1559.12
2025-01-30,Email,Email_Newsletter,76.32,38161,195,6,372.34
2025-01-30,Instagram,IG_Story_Promo,81.01,9360,181,8,628.78
2025-01-30,Google,Google_Display,170.97,13889,351,25,2547.12
2025-01-30,Email,Email_Abandoned_Cart,75.6,37800,312,6,378.03
2025-01-30,Facebook,FB_Retargeting,179.48,18550,349,17,1391.94
2025-01-30,Facebook,FB_NewYear_Sale,157.68,15158,328,14,1632.07
2025-01-30,Google,Google_Search_Brand,220.71,20699,601,34,3589.44
2025-01-31,Facebook,FB_NewYear_Sale,132.41,12133,242,13,1266.11
2025-01-31,Facebook,FB_Retargeting,154.11,13762,302,13,1346.92
2025-01-31,Google,Google_Search_Brand,159.75,12395,264,20,1909.45
2025-01-31,Google,Google_Display,177.32,15444,434,33,3936.54
2025-01-31,Instagram,IG_Story_Promo,101.17,10965,181,7,727.77
2025-01-31,Email,Email_Newsletter,44.37,22184,195,7,431.04
2025-01-31,Email,Email_Abandoned_Cart,30.05,15025,156,3,248.15
2025-02-01,Email,Email_Newsletter,36.38,18187,83,1,60.85
2025-02-01,Email,Email_Abandoned_Cart,35.58,17787,188,4,296.11
2025-02-01,Instagram,IG_Influencer,90.26,12406,201,5,473.17
2025-02-01,Facebook,FB_Retargeting,82.3,7035,173,6,593.81
2025-02-01,Google,Google_Display,142.69,12051,262,7,824.96
2025-02-01,Google,Google_Search_Brand,169.49,10031,327,11,1354.72
2025-02-01,Instagram,IG_Story_Promo,63.53,8632,148,2,165.22
2025-02-02,Facebook,FB_Retargeting,127.38,11507,218,6,630.6
2025-02-02,Google,Google_Search_Brand,127.53,9537,296,9,849.77
2025-02-02,Google,Google_Display,180.69,14076,342,12,1192.13
2025-02-02,Instagram,IG_Story_Promo,69.51,9222,154,3,324.0
2025-02-02,Instagram,IG_Influencer,73.28,8012,86,0,104.85954285714286
2025-02-02,Email,Email_Newsletter,34.65,17326,105,2,138.53
2025-02-02,Email,Email_Abandoned_Cart,39.72,19861,192,3,241.52
2025-02-03,Instagram,IG_Influencer,92.13,9642,186,7,814.3697142857143
2025-02-03,Email,Email_Abandoned_Cart,38.02,19008,154,3,206.42
2025-02-03,Email,Email_Newsletter,48.43,24214,199,4,305.35
2025-02-03,Instagram,IG_Story_Promo,93.01,13489,207,8,745.63
2025-02-03,Google,Google_Search_Brand,187.7,17939,619,47,5974.17
2025-02-03,Google,Google_Display,269.66,17321,386,28,2771.37
2025-02-03,Facebook,FB_Retargeting,137.41,15470,260,14,1316.07
2025-02-04,Facebook,FB_Retargeting,128.07,11932,188,10,998.06
2025-02-04,Google,Google_Search_Brand,301.08,18139,457,32,3604.14
2025-02-04,Google,Google_Display,178.77,14729,488,36,4188.17
2025-02-04,Instagram,IG_Story_Promo,116.41,13243,222,9,900.98
2025-02-04,Instagram,IG_Influencer,110.15,16602,309,13,987.8396
2025-02-04,Email,Email_Newsletter,48.33,24164,196,4,370.87
2025-02-04,Email,Email_Abandoned_Cart,51.47,25733,219,4,285.93
2025-02-05,Email,Email_Abandoned_Cart,65.66,32827,254,6,599.31
2025-02-05,Email,Email_Newsletter,43.0,21499,251,8,521.63
2025-02-05,Instagram,IG_Influencer,102.66,13903,222,5,621.9794857142856
2025-02-05,Facebook,FB_Retargeting,155.73,14793,260,13,1320.79
2025-02-05,Google,Google_Display,196.19,13026,442,23,2932.25
2025-02-05,Google,Google_Search_Brand,201.86,12430,268,19,2121.36
2025-02-05,Instagram,IG_Story_Promo,105.58,12064,128,4,393.31
2025-02-06,Email,Email_Newsletter,37.48,18742,158,6,404.53
2025-02-06,Email,Email_Abandoned_Cart,64.44,32218,328,11,1031.7
2025-02-06,Instagram,IG_Influencer,78.6,8207,98,2,210.68657142857145
2025-02-06,Facebook,FB_Retargeting,148.03,15253,297,12,1341.51
2025-02-06,Google,Google_Display,228.33,12968,288,18,2299.4
2025-02-06,Google,Google_Search_Brand,159.15,14931,451,31,3128.84
2025-02-06,Instagram,IG_Story_Promo,136.93,18040,229,11,950.11
2025-02-07,Facebook,FB_Retargeting,152.35,17871,273,15,1569.99
2025-02-07,Google,Google_Search_Brand,227.85,13916,378,20,1900.15
2025-02-07,Google,Google_Display,155.65,13413,367,19,2152.3
2025-02-07,Instagram,IG_Story_Promo,122.42,17300,310,11,970.3
2025-02-07,Instagram,IG_Influencer,81.86,9744,122,4,513.0710857142857
2025-02-07,Email,Email_Newsletter,23.19,11592,66,1,64.2
2025-02-07,Email,Email_Abandoned_Cart,44.97,22483,200,6,362.35
2025-02-08,Instagram,IG_Influencer,60.94,8282,147,1,207.3582
2025-02-08,Email,Email_Abandoned_Cart,36.38,18191,80,0,0.0
2025-02-08,Email,Email_Newsletter,44.22,22110,178,3,267.79
2025-02-08,Google,Google_Display,132.13,11651,251,10,1182.59
2025-02-08,Google,Google_Search_Brand,111.95,7699,233,10,980.06
2025-02-08,Facebook,FB_Retargeting,80.67,8669,174,4,376.1
2025-02-08,Instagram,IG_Story_Promo,70.83,8016,149,3,306.21
2025-02-09,Facebook,FB_Retargeting,98.27,8255,151,3,334.76
2025-02-09,Google,Google_Search_Brand,151.88,9946,273,10,1187.68
2025-02-09,Google,Google_Display,141.06,12164,367,11,1003.49
2025-02-09,Instagram,IG_Story_Promo,71.68,10195,149,4,396.35
2025-02-09,Instagram,IG_Influencer,63.24,8564,114,2,209.90005714285712
2025-02-09,Email,Email_Newsletter,46.02,23008,208,3,267.03
2025-02-09,Email,Email_Abandoned_Cart,42.55,21275,175,2,167.39
2025-02-10,Email,Email_Abandoned_Cart,64.69,32344,155,3,242.37
2025-02-10,Email,Email_Newsletter,38.91,19452,121,4,312.61
2025-02-10,Instagram,IG_Influencer,116.66,17532,236,14,1173.8973714285717
2025-02-10,Google,Google_Display,226.62,12752,289,21,2303.51
2025-02-10,Google,Google_Search_Brand,183.73,11682,392,21,2089.54
2025-02-10,Facebook,FB_Retargeting,156.29,13415,229,12,1263.15
2025-02-10,Instagram,IG_Story_Promo,139.7,17953,271,13,1218.33
2025-02-11,Facebook,FB_Retargeting,179.89,18500,323,16,1732.34
2025-02-11,Google,Google_Search_Brand,180.25,15900,357,18,2150.21
2025-02-11,Google,Google_Display,187.13,11169,358,24,2993.54
2025-02-11,Instagram,IG_Story_Promo,169.84,24891,276,11,795.12
2025-02-11,Instagram,IG_Influencer,137.46,22324,242,10,1147.1697142857145
2025-02-11,Email,Email_Newsletter,50.52,25259,176,3,197.8
2025-02-11,Email,Email_Abandoned_Cart,59.16,29581,220,6,520.05
2025-02-12,Instagram,IG_Influencer,128.76,21033,393,21,2068.2196285714285
2025-02-12,Instagram,IG_Story_Promo,123.61,15473,250,14,1299.54
2025-02-12,Email,Email_Newsletter,56.39,28193,222,4,345.26
2025-02-12,Google,Google_Search_Brand,224.51,12641,270,18,1939.5
2025-02-12,Facebook,FB_Retargeting,160.39,18740,286,13,1406.43
2025-02-12,Google,Google_Display,157.86,9316,211,14,1729.34
2025-02-12,Email,Email_Abandoned_Cart,38.57,19284,121,4,305.11
2025-02-13,Email,Email_Newsletter,28.47,14233,123,3,235.62
2025-02-13,Email,Email_Abandoned_Cart,59.82,29908,222,4,294.6
2025-02-13,Instagram,IG_Influencer,96.21,13842,183,6,492.98748571428575
2025-02-13,Google,Google_Display,188.1,11370,247,16,1443.69
2025-02-13,Instagram,IG_Story_Promo,153.02,20965,286,13,1271.64
2025-02-13,Google,Google_Search_Brand,216.88,17190,515,38,4578.67
2025-02-13,Facebook,FB_Retargeting,159.64,15547,348,20,1923.31
2025-02-14,Facebook,FB_Retargeting,126.23,13258,251,12,1216.13
2025-02-14,Google,Google_Search_Brand,229.83,13926,428,33,2994.07
2025-02-14,Google,Google_Display,200.3,17317,348,24,3022.11
2025-02-14,Instagram,IG_Story_Promo,110.25,17665,341,15,1110.85
2025-02-14,Instagram,IG_Influencer,106.65,13425,161,5,475.4107142857143
2025-02-14,Email,Email_Newsletter,46.62,23309,173,5,354.52
2025-02-14,Email,Email_Abandoned_Cart,57.53,28764,155,3,261.73
2025-02-15,Email,Email_Abandoned_Cart,30.15,15074,88,1,78.07
2025-02-15,Instagram,IG_Influencer,63.99,9257,107,1,165.9648
2025-02-15,Email,Email_Newsletter,26.29,13146,93,1,76.95
2025-02-15,Google,Google_Search_Brand,359.27500000000003,20293,553,6,672.05
2025-02-15,Google,Google_Display,143.51,8148,236,10,1253.68
2025-02-15,Facebook,FB_Retargeting,107.21,9893,158,4,361.05
2025-02-16,Email,Email_Newsletter,38.98,19491,95,1,95.77
2025-02-16,Instagram,IG_Influencer,50.82,5788,77,0,94.47000000000001
2025-02-16,Email,Email_Abandoned_Cart,46.4,23199,134,1,74.2
2025-02-16,Google,Google_Search_Brand,148.67,14591,432,17,1901.75
2025-02-16,Facebook,FB_Retargeting,80.06,7313,172,4,335.31
2025-02-16,Google,Google_Display,124.39,8429,231,10,954.58
2025-02-17,Facebook,FB_Retargeting,158.57,19173,441,19,1930.41
2025-02-17,Google,Google_Search_Brand,177.66,10425,310,20,2059.47
2025-02-17,Google,Google_Display,261.56,14569,436,29,3457.55
2025-02-17,Instagram,IG_Influencer,79.6,10125,102,3,413.4156571428572
2025-02-17,Email,Email_Newsletter,58.16,29078,196,4,312.06
2025-02-17,Email,Email_Abandoned_Cart,42.83,21416,159,5,459.09
2025-02-18,Email,Email_Abandoned_Cart,55.08,27539,240,9,846.51
2025-02-18,Instagram,IG_Influencer,96.95,13747,176,4,511.28819999999996
2025-02-18,Email,Email_Newsletter,31.64,15818,109,3,241.88
2025-02-18,Google,Google_Search_Brand,187.34,13223,388,20,2404.22
2025-02-18,Facebook,FB_Retargeting,117.23,9793,237,12,1364.18
2025-02-18,Google,Google_Display,205.34,12631,386,19,1940.38
2025-02-19,Facebook,FB_Retargeting,152.45,16009,380,21,2356.98
2025-02-19,Google,Google_Search_Brand,196.04,12012,295,15,1591.79
2025-02-19,Google,Google_Display,221.46,17343,600,41,5038.87
2025-02-19,Instagram,IG_Influencer,82.03,12561,221,10,933.6883428571429
2025-02-19,Email,Email_Newsletter,63.9,31951,208,5,329.27
2025-02-19,Email,Email_Abandoned_Cart,55.58,27789,140,2,130.81
2025-02-20,Facebook,FB_Retargeting,128.94,10869,210,9,902.21
2025-02-20,Google,Google_Search_Brand,188.01,13910,300,20,1972.83
2025-02-20,Google,Google_Display,222.05,19796,414,30,3251.76
2025-02-20,Instagram,IG_Influencer,105.72,16962,319,9,924.9180285714285
2025-02-20,Email,Email_Newsletter,37.29,18643,106,3,299.6
2025-02-20,Email,Email_Abandoned_Cart,39.93,19964,181,4,339.82
2025-02-21,Instagram,IG_Influencer,36.86,4527,51,0,75.09857142857143
2025-02-21,Email,Email_Newsletter,38.13,19066,124,3,281.32
2025-02-21,Email,Email_Abandoned_Cart,42.68,21340,133,3,218.96
2025-02-21,Google,Google_Display,135.36,13331,318,23,2196.14
2025-02-21,Facebook,FB_Retargeting,56.14,6586,157,7,614.49
2025-02-21,Google,Google_Search_Brand,181.59,14030,367,27,3222.3
2025-02-22,Facebook,FB_Retargeting,86.16,9066,171,4,445.6
2025-02-22,Google,Google_Search_Brand,159.74,9321,319,13,1334.01
2025-02-22,Google,Google_Display,104.59,8688,283,8,1008.56
2025-02-22,Instagram,IG_Influencer,81.23,10353,158,3,397.8268
2025-02-22,Email,Email_Newsletter,37.5,18747,117,1,89.5
2025-02-22,Email,Email_Abandoned_Cart,39.04,19520,164,1,63.39
2025-02-23,Facebook,FB_Retargeting,82.73,9985,150,4,438.0
2025-02-23,Google,Google_Search_Brand,123.4,9620,235,8,967.89
2025-02-23,Google,Google_Display,94.08,8258,177,7,844.02
2025-02-23,Instagram,IG_Influencer,65.89,9332,89,0,101.8768
2025-02-23,Email,Email_Newsletter,35.68,17838,129,3,259.44
2025-02-23,Email,Email_Abandoned_Cart,25.25,12623,117,1,81.21
2025-02-24,Email,Email_Newsletter,52.3,26152,276,10,700.9
2025-02-24,Instagram,IG_Influencer,54.15,8348,92,3,358.13974285714283
2025-02-24,Email,Email_Abandoned_Cart,39.42,19710,158,5,445.7
2025-02-24,Google,Google_Search_Brand,211.62,12830,382,20,2070.61
2025-02-24,Google,Google_Display,141.2,10447,304,23,2291.44
2025-02-24,Facebook,FB_Retargeting,116.64,9785,205,10,1099.23
2025-02-25,Facebook,FB_Retargeting,144.4,16579,339,20,2349.91
2025-02-25,Google,Google_Search_Brand,209.9,20289,455,24,2856.94
2025-02-25,Google,Google_Display,152.03,10822,352,25,2792.24
2025-02-25,Instagram,IG_Influencer,94.97,11357,159,5,517.5110285714286
2025-02-25,Email,Email_Newsletter,48.9,24451,227,5,392.31
2025-02-25,Email,Email_Abandoned_Cart,45.74,22869,114,3,299.02
2025-02-26,Facebook,FB_Retargeting,122.17,10907,185,9,983.91
2025-02-26,Google,Google_Search_Brand,141.08,9450,215,13,1577.57
2025-02-26,Google,Google_Display,165.44,10283,211,15,1471.49
2025-02-26,Instagram,IG_Influencer,85.25,8670,109,3,282.11857142857144
2025-02-26,Email,Email_Newsletter,48.64,24320,199,5,444.41
2025-02-26,Email,Email_Abandoned_Cart,39.33,19665,180,5,382.52
2025-02-27,Instagram,IG_Influencer,105.54,13204,131,3,308.7072
2025-02-27,Email,Email_Abandoned_Cart,50.62,25310,168,3,206.47
2025-02-27,Email,Email_Newsletter,48.42,24209,204,5,329.49
2025-02-27,Google,Google_Display,240.09,15578,499,28,3444.06
2025-02-27,Google,Google_Search_Brand,212.93,14065,294,19,2136.73
2025-02-27,Facebook,FB_Retargeting,88.6,7926,126,6,595.43
2025-02-28,Facebook,FB_Retargeting,149.48,12463,303,16,1549.6
2025-02-28,Google,Google_Search_Brand,172.3,11418,362,19,2021.53
2025-02-28,Google,Google_Display,141.61,9715,279,15,1567.34
2025-02-28,Instagram,IG_Influencer,93.16,12695,119,2,285.9011428571429
2025-02-28,Email,Email_Newsletter,39.33,19663,175,4,308.75
2025-02-28,Email,Email_Abandoned_Cart,24.72,12360,130,3,276.32
2025-03-01,Email,Email_Abandoned_Cart,37.57,18785,115,1,62.51
2025-03-01,Email,Email_Newsletter,33.41,16707,133,1,91.07
2025-03-01,Instagram,IG_Influencer,74.23,11917,152,3,239.64
2025-03-01,Facebook,FB_Retargeting,80.43,9424,148,4,399.43
2025-03-01,Google,Google_Search_Brand,59.58,4414,136,5,481.78
2025-03-01,Google,Google_Display,112.05,6998,208,9,834.82
2025-03-02,Instagram,IG_Influencer,62.59,9215,144,3,326.64
2025-03-02,Email,Email_Newsletter,23.69,11847,57,0,0.0
2025-03-02,Email,Email_Abandoned_Cart,43.15,21576,192,3,193.77
